run_accession	sample_name
ERR1369141	1939.122097
ERR1369146	1939.122100.a
ERR1369149	1939.122113.a
ERR1369150	1939.122113.b
ERR1369151	1939.122115.a
ERR1369153	1939.122116.a
ERR1369156	1939.122117.b
ERR1369159	1939.122163.a
ERR1369168	1939.MGH100695.b
ERR1369169	1939.MGH100698
ERR1369170	1939.MGH100748
ERR1369171	1939.MGH100826
ERR1369173	1939.MGH100896.b
ERR1369177	1939.MGH101123
ERR1369178	1939.MGH101187
ERR1369179	1939.MGH101249
ERR1369180	1939.MGH101446
ERR1369184	1939.MGH101725
ERR1369187	1939.MGH102203
ERR1369188	1939.MGH102228
ERR1369189	1939.MGH102261
ERR1369193	1939.MGH102504
ERR1369194	1939.MGH102701
ERR1369197	1939.MGH102894
ERR1369198	1939.MGH102965
ERR1369199	1939.MGH103029
ERR1369203	1939.MGH103539
ERR1369211	1939.MGH104031
ERR1369212	1939.MGH104119
ERR1369218	1939.MGH104623
ERR1369219	1939.MGH104671.a
ERR1369222	1939.MGH104824.a
ERR1369225	1939.MGH104945
ERR1369226	1939.MGH105057
ERR1369227	1939.MGH105126
ERR1369228	1939.MGH105192
ERR1369229	1939.MGH105234
ERR1369230	1939.MGH105239
ERR1369231	1939.MGH105361
ERR1369233	1939.MGH105553
ERR1369239	1939.MGH106034
ERR1369241	1939.MGH106271.b
ERR1369245	1939.MGH109531
ERR1369248	1939.MGH109781
ERR1369250	1939.MGH110455
ERR1369251	1939.MGH111702
ERR1369254	1939.MGH113059
ERR1369256	1939.MGH113486
ERR1369257	1939.MGH113527
ERR1369259	1939.MGH113669.b
ERR1369260	1939.MGH129951
ERR1369261	1939.SKBTI.0097
ERR1369262	1939.SKBTI.0098.a
ERR1369267	1939.SKBTI.0102.b
ERR1369268	1939.SKBTI.0103
ERR1369270	1939.SKBTI.0107.a
ERR1369271	1939.SKBTI.0107.b
ERR1369274	1939.SKBTI.0111
ERR1369277	1939.SKBTI.0113
ERR1369278	1939.SKBTI.0114
ERR1369279	1939.SKBTI.0115.a
ERR1369281	1939.SKBTI.0116
ERR1369282	1939.SKBTI.0117
ERR1369286	1939.SKBTI.0121
ERR1369290	1939.SKBTI.0124
ERR1369296	1939.SKBTI.0130
ERR1369299	1939.SKBTI.0133
ERR1369301	1939.SKBTI.0134.b
ERR1369302	1939.SKBTI.0135
ERR1369305	1939.SKBTI.0137
ERR1369308	1939.SKBTI.0140
ERR1369309	1939.SKBTI.0141.a
ERR1369310	1939.SKBTI.0141.b
ERR1369314	1939.SKBTI.0144
ERR1369316	1939.SKBTI.0146
ERR1369318	1939.SKBTI.0148
ERR1369319	1939.SKBTI.0149
ERR1369322	1939.SKBTI.0151
ERR1369324	1939.SKBTI.0153
ERR1369329	1939.SKBTI.0157.a
ERR1369334	1939.SKBTI.0161
ERR1369336	1939.SKBTI.0163
ERR1369337	1939.SKBTI.0164
ERR1369341	1939.SKBTI.0169
ERR1369344	1939.SKBTI.0172.a
ERR1369347	1939.SKBTI.0173.b
ERR1369348	1939.SKBTI.0174
ERR1369353	1939.SKBTI.0178
ERR1369354	1939.SKBTI.0179
ERR1369356	1939.SKBTI.0181
ERR1369365	1939.SKBTI.0191
ERR1369367	1939.SKBTI.0193
ERR1369368	1939.SKBTI.0194
ERR1369373	1939.SKBTI.0198.b
ERR1369376	1939.SKBTI.0201
ERR1369382	1939.SKBTI.0206
ERR1369385	1939.SKBTI.0209.a
ERR1369391	1939.SKBTI.0213.a
ERR1369393	1939.SKBTI.0214
ERR1369395	1939.SKBTI.0216
ERR1369396	1939.SKBTI.0217
ERR1369397	1939.SKBTI.0218
ERR1369399	1939.SKBTI.0220
ERR1369400	1939.SKBTI.0221
ERR1369403	1939.SKBTI.0223.b
ERR1369404	1939.SKBTI.0224
ERR1369405	1939.SKBTI.0226.a
ERR1369408	1939.SKBTI.0227.b
ERR1369409	1939.SKBTI.0228.a
ERR1369410	1939.SKBTI.0228.b
ERR1369415	1939.SKBTI.0232
ERR1369417	1939.SKBTI.0234
ERR1369419	1939.SKBTI.0236
ERR1369431	1939.SKBTI.0246.a
ERR1369436	1939.SKBTI.0250.a
ERR1369439	1939.SKBTI.0252
ERR1369440	1939.SKBTI.0253.a
ERR1369441	1939.SKBTI.0253.b
ERR1369447	1939.SKBTI.0256.b
ERR1369455	1939.SKBTI.0262.b
ERR1369456	1939.SKBTI.0263
ERR1369458	1939.SKBTI.0264.b
ERR1369481	1939.SKBTI.0281
ERR1369487	1939.SKBTI.0286
ERR1369490	1939.SKBTI.0301
ERR1369494	1939.SKBTI.0333
ERR1369498	1939.SKBTI.0392
ERR1369499	1939.SKBTI.0395
ERR1369509	1939.SKBTI.0486
ERR1369513	1939.SKBTI.0490
ERR1369518	1939.SKBTI.0495
ERR1369521	1939.SKBTI.0498
ERR1369523	1939.SKBTI.0500
ERR1369524	1939.SKBTI.0503
ERR1369527	1939.SKBTI.0506
ERR1369530	1939.SKBTI.0510
ERR1369533	1939.SKBTI.0513
ERR1369537	1939.SKBTI.0517
ERR1369543	1939.SKBTI.0523
ERR1369547	1939.SKBTI.0527
ERR1369558	1939.SKBTI.0539
ERR1369564	1939.SKBTI.0545
ERR1369566	1939.SKBTI.0547
ERR1369567	1939.SKBTI.0548
ERR1369570	1939.SKBTI.0551
ERR1369573	1939.SKBTI.0555
ERR1369575	1939.SKBTI.0557
ERR1369587	1939.SKBTI.0569
ERR1369588	1939.SKBTI.0570
ERR1369590	1939.SKBTI.0572
ERR1369591	1939.SKBTI.0573
ERR1369594	1939.SKBTI.0576
ERR1369596	1939.SKBTI.0578
ERR1369597	1939.SKBTI.0579
ERR1369600	1939.SKBTI.0583
ERR1369605	1939.SKBTI.0589
ERR1369613	1939.SKBTI.0597
ERR1369617	1939.SKBTI.0601
ERR1369619	1939.SKBTI.0604
ERR1369621	1939.SKBTI.0606
ERR1369631	1939.SKBTI.0618
ERR1369638	1939.SKBTI.0626
ERR1369639	1939.SKBTI.0627
ERR1369642	1939.SKBTI.0631
ERR1369646	1939.SKBTI.0635
ERR1369652	1939.SKBTI.0641.b
ERR1369655	1939.SKBTI.0645
ERR1369664	1939.SKBTI.0655
ERR1369665	1939.SKBTI.0656
ERR1369668	1939.SKBTI.0660
ERR1369681	1939.SKBTI.0674
ERR1369711	1939.SKBTI.0730
ERR1369716	1939.SKBTI.0734
ERR1369720	1939.SKBTI.0741
ERR1369722	1939.SKBTI.0744
ERR1369746	1939.SKBTI.0866
ERR1369763	1939.SKBTI.0889
ERR1369770	1939.SKBTI.0910
ERR1369774	1939.SKBTI.0914
ERR1369784	1939.SKBTI.0927
ERR1369785	1939.SKBTI.0928
ERR1369786	1939.SKBTI.0929
ERR1369811	1939.SKBTI.0963
ERR1369817	1939.SKBTI.0970
ERR1369820	1939.SKBTI.0973
ERR1369828	1939.SKBTI.0983
ERR1369835	1939.SKBTI.0992
ERR1369836	1939.SKBTI.0994
ERR1369837	1939.SKBTI.0995
ERR1369842	1939.SKBTI.1000
ERR1369843	1939.SKBTI.1002
ERR1369848	1939.SKBTI.1008
ERR1369849	1939.SKBTI.1009
ERR1369863	1939.SKBTI.1023
ERR1369868	1939.SKBTI.1029
ERR1369876	1939.SKBTI.1037
ERR1369884	1939.SKBTI.1046
ERR1369894	1939.SKBTI.1056
ERR1369898	1939.SKBTI.1061
ERR1369903	1939.SKBTI.1066
ERR1369904	1939.SKBTI.1067
ERR1369908	1939.SKBTI.1072
